# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 84, mean observations per image: 0
19 0.703666 0.069677 0.703666 -0.069677 10.000000 -3.000000 0.000000 1 Camera_L1_H00_0018.jpg

20 0.552866 0.054745 0.827423 -0.081931 9.238795 -3.000000 -3.826835 1 Camera_L1_H01_0019.jpg

21 0.380821 0.037709 0.919383 -0.091037 7.071068 -3.000000 -7.071068 1 Camera_L1_H02_0020.jpg

22 0.194141 0.019224 0.976012 -0.096644 3.826834 -3.000000 -9.238795 1 Camera_L1_H03_0021.jpg

23 0.000000 0.000000 0.995133 -0.098538 0.000000 -3.000000 -10.000000 1 Camera_L1_H04_0022.jpg

24 -0.194141 -0.019224 0.976012 -0.096644 -3.826834 -3.000000 -9.238795 1 Camera_L1_H05_0023.jpg

25 -0.380821 -0.037709 0.919383 -0.091037 -7.071068 -3.000000 -7.071068 1 Camera_L1_H06_0024.jpg

26 0.552866 0.054745 -0.827423 0.081931 -9.238795 -3.000000 -3.826835 1 Camera_L1_H07_0025.jpg

27 0.703666 0.069677 -0.703666 0.069677 -10.000000 -3.000000 0.000001 1 Camera_L1_H08_0026.jpg

28 0.827423 0.081931 -0.552867 0.054745 -9.238795 -3.000000 3.826834 1 Camera_L1_H09_0027.jpg

29 0.919383 0.091037 -0.380821 0.037709 -7.071068 -3.000000 7.071067 1 Camera_L1_H10_0028.jpg

30 0.976012 0.096644 -0.194141 0.019224 -3.826836 -3.000000 9.238795 1 Camera_L1_H11_0029.jpg

31 0.995133 0.098538 0.000000 0.000000 0.000000 -3.000000 10.000000 1 Camera_L1_H12_0030.jpg

32 0.976012 0.096644 0.194141 -0.019224 3.826836 -3.000000 9.238794 1 Camera_L1_H13_0031.jpg

33 0.919383 0.091037 0.380821 -0.037709 7.071066 -3.000000 7.071069 1 Camera_L1_H14_0032.jpg

34 0.827423 0.081931 0.552867 -0.054745 9.238795 -3.000000 3.826834 1 Camera_L1_H15_0033.jpg

35 0.699612 0.102681 0.699612 -0.102681 10.000000 -4.000000 0.000000 1 Camera_L2_H00_0034.jpg

36 0.526393 0.077258 0.837749 -0.122956 9.009688 -4.000000 -4.338838 1 Camera_L2_H01_0035.jpg

37 0.326778 0.047961 0.933879 -0.137064 6.234898 -4.000000 -7.818315 1 Camera_L2_H02_0036.jpg

38 0.110778 0.016259 0.983179 -0.144300 2.225210 -4.000000 -9.749279 1 Camera_L2_H03_0037.jpg

39 -0.110778 -0.016259 0.983179 -0.144300 -2.225209 -4.000000 -9.749279 1 Camera_L2_H04_0038.jpg

40 -0.326778 -0.047961 0.933879 -0.137064 -6.234898 -4.000000 -7.818315 1 Camera_L2_H05_0039.jpg

41 0.526393 0.077258 -0.837749 0.122956 -9.009688 -4.000000 -4.338838 1 Camera_L2_H06_0040.jpg

42 0.699612 0.102681 -0.699612 0.102681 -10.000000 -4.000000 0.000001 1 Camera_L2_H07_0041.jpg

43 0.837749 0.122956 -0.526393 0.077258 -9.009688 -4.000000 4.338838 1 Camera_L2_H08_0042.jpg

44 0.933879 0.137064 -0.326778 0.047961 -6.234900 -4.000000 7.818313 1 Camera_L2_H09_0043.jpg

45 0.983179 0.144300 -0.110778 0.016259 -2.225210 -4.000000 9.749279 1 Camera_L2_H10_0044.jpg

46 0.983179 0.144300 0.110778 -0.016259 2.225210 -4.000000 9.749279 1 Camera_L2_H11_0045.jpg

47 0.933879 0.137064 0.326778 -0.047961 6.234897 -4.000000 7.818316 1 Camera_L2_H12_0046.jpg

48 0.837749 0.122956 0.526393 -0.077258 9.009688 -4.000000 4.338838 1 Camera_L2_H13_0047.jpg

49 0.694348 0.133719 0.694348 -0.133719 10.000000 -5.000000 0.000000 1 Camera_L3_H00_0048.jpg

50 0.490978 0.094554 0.850399 -0.163772 8.660254 -5.000000 -5.000000 1 Camera_L3_H01_0049.jpg

51 0.254149 0.048945 0.948497 -0.182664 5.000000 -5.000000 -8.660254 1 Camera_L3_H02_0050.jpg

52 0.000000 0.000000 0.981956 -0.189108 0.000000 -5.000000 -10.000000 1 Camera_L3_H03_0051.jpg

53 -0.254149 -0.048945 0.948497 -0.182664 -5.000000 -5.000000 -8.660254 1 Camera_L3_H04_0052.jpg

54 -0.490978 -0.094554 0.850399 -0.163772 -8.660254 -5.000000 -5.000000 1 Camera_L3_H05_0053.jpg

55 0.694348 0.133719 -0.694348 0.133719 -10.000000 -5.000000 0.000001 1 Camera_L3_H06_0054.jpg

56 0.850399 0.163772 -0.490978 0.094554 -8.660254 -5.000000 5.000000 1 Camera_L3_H07_0055.jpg

57 0.948497 0.182664 -0.254149 0.048945 -4.999999 -5.000000 8.660254 1 Camera_L3_H08_0056.jpg

58 0.981956 0.189108 0.000000 0.000000 0.000000 -5.000000 10.000000 1 Camera_L3_H09_0057.jpg

59 0.948497 0.182664 0.254149 -0.048945 4.999999 -5.000000 8.660254 1 Camera_L3_H10_0058.jpg

60 0.850399 0.163772 0.490978 -0.094554 8.660254 -5.000000 5.000002 1 Camera_L3_H11_0059.jpg

61 0.688191 0.162460 0.688191 -0.162460 10.000000 -6.000000 0.000000 1 Camera_L4_H00_0060.jpg

62 0.441846 0.104306 0.867171 -0.204711 8.090170 -6.000000 -5.877852 1 Camera_L4_H01_0061.jpg

63 0.152250 0.035941 0.961267 -0.226924 3.090170 -6.000000 -9.510566 1 Camera_L4_H02_0062.jpg

64 -0.152250 -0.035941 0.961267 -0.226924 -3.090169 -6.000000 -9.510566 1 Camera_L4_H03_0063.jpg

65 -0.441846 -0.104306 0.867171 -0.204711 -8.090171 -6.000000 -5.877852 1 Camera_L4_H04_0064.jpg

66 0.688191 0.162460 -0.688191 0.162460 -10.000000 -6.000000 0.000001 1 Camera_L4_H05_0065.jpg

67 0.867171 0.204711 -0.441846 0.104306 -8.090171 -6.000000 5.877851 1 Camera_L4_H06_0066.jpg

68 0.961267 0.226924 -0.152250 0.035941 -3.090171 -6.000000 9.510565 1 Camera_L4_H07_0067.jpg

69 0.961267 0.226924 0.152250 -0.035941 3.090171 -6.000000 9.510565 1 Camera_L4_H08_0068.jpg

70 0.867171 0.204711 0.441846 -0.104306 8.090170 -6.000000 5.877853 1 Camera_L4_H09_0069.jpg

71 0.681449 0.188751 0.681449 -0.188751 10.000000 -7.000000 0.000000 1 Camera_L5_H00_0070.jpg

72 0.368798 0.102151 0.890357 -0.246615 7.071068 -7.000000 -7.071068 1 Camera_L5_H01_0071.jpg

73 0.000000 0.000000 0.963715 -0.266934 0.000000 -7.000000 -10.000000 1 Camera_L5_H02_0072.jpg

74 -0.368798 -0.102151 0.890357 -0.246615 -7.071068 -7.000000 -7.071068 1 Camera_L5_H03_0073.jpg

75 0.681449 0.188751 -0.681449 0.188751 -10.000000 -7.000000 0.000001 1 Camera_L5_H04_0074.jpg

76 0.890357 0.246615 -0.368798 0.102151 -7.071068 -7.000000 7.071067 1 Camera_L5_H05_0075.jpg

77 0.963715 0.266934 0.000000 0.000000 0.000000 -7.000000 10.000000 1 Camera_L5_H06_0076.jpg

78 0.890357 0.246615 0.368798 -0.102151 7.071066 -7.000000 7.071069 1 Camera_L5_H07_0077.jpg

79 0.707107 0.707107 0.000000 0.000000 0.000000 -9.000000 0.000000 1 Camera_Top_0078.jpg

80 0.000000 0.000000 0.707107 0.707107 0.000000 -1.300000 0.000000 1 Camera_Bottom_0079.jpg

81 0.697976 0.113266 0.697976 -0.113266 6.000000 -3.000000 0.000000 1 Camera_Close_0_0080.jpg

82 0.000000 0.000000 0.987088 -0.160182 0.000000 -3.000000 -6.000000 1 Camera_Close_1_0081.jpg

83 0.697976 0.113266 -0.697976 0.113266 -6.000000 -3.000000 0.000001 1 Camera_Close_2_0082.jpg

84 0.987088 0.160182 0.000000 0.000000 0.000000 -3.000000 6.000000 1 Camera_Close_3_0083.jpg

